Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,235898,Granada,-,Spain,37.17,-3.58,1,701,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,0,0,0,0,5.1,7.7,965,83.89,125,1.6,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,5.1,7.7,965,83.89,125,1.6,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,0,0,0,0,0,8.3,964,55.72,117,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,0,8.2,964,56.09,116,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,0,0,0,0,-0.2,8.2,964,55.32,116,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,-0.2,8.2,964,55.32,114,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,0,0,0,0,-0.5,8.2,964,54.23,113,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,-0.5,8.3,964,53.86,111,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,0,0,0,0,-0.9,8.5,964,51.57,110,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,-0.9,8.6,963,51.17,108,1.3,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,0,0,0,0,-1.4,8.7,963,49.28,106,1.2,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,-1.4,8.8,963,48.95,104,1.2,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,0,0,0,0,-1.8,8.9,963,47.16,101,1.1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,-1.8,9.1,964,46.58,98,1.1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,0,0,0,0,-2.2,9.3,964,44.35,96,1.1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,0,0,0,-2.2,9.4,964,44.06,94,1.1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,0,0,0,0,-2.5,9.6,964,42.55,92,1.1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,8,30,0,0,0,-2.5,10.2,964,40.88,93,1,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,0,23,489,64,-0.6,10.8,965,45.12,94,1,0.14,23,489,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,9,30,35,669,146,-0.6,12.1,965,41.41,99,1,0.14,35,669,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,0,42,775,230,1.5,13.3,965,44.56,104,1.1,0.14,42,775,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,10,30,48,843,309,1.5,14.2,965,42.03,111,1.1,0.14,48,843,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,0,52,889,380,-1.2,15.2,965,32.56,119,1.1,0.14,52,889,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,11,30,55,920,440,-1.2,16.2,965,30.54,144,1,0.14,55,920,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,0,57,941,486,-1.9,17.2,965,27.06,168,0.9,0.14,57,941,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,12,30,58,955,518,-2,17.8,964,26.03,189,1,0.14,58,955,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,0,63,954,535,-2.9,18.4,964,23.44,209,1.1,0.14,63,954,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,30,63,954,537,-2.9,18.6,964,23.15,224,1.2,0.14,63,954,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,0,62,942,519,-2.8,18.7,963,23.15,239,1.3,0.14,62,942,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,61,930,490,-2.8,18.6,963,23.29,251,1.5,0.14,61,930,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,0,59,909,446,-2.2,18.4,963,24.57,263,1.6,0.14,59,909,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,56,880,390,-2.2,17.8,963,25.51,268,1.5,0.14,56,880,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,0,56,818,319,1.7,17.2,963,35.23,273,1.4,0.14,56,818,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,50,751,242,1.7,15.5,963,39.24,278,1.3,0.14,50,751,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,0,41,647,158,3.8,13.8,964,50.75,283,1.2,0.14,41,647,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,29,474,76,3.8,12.8,964,54.16,293,1.3,0.14,29,474,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,0,0,0,0,1.5,11.8,964,49.19,303,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,30,0,0,0,1.5,11.5,964,50.17,313,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,0,0,0,0,1.2,11.2,964,50.1,322,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,19,30,0,0,0,1.2,10.9,964,51.1,329,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,0,0,0,0,0.9,10.6,965,50.98,337,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,20,30,0,0,0,0.9,10.4,965,51.66,342,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,0,0,0,0,0.5,10.2,965,51.15,347,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,21,30,0,0,0,0.5,9.9,965,52.19,353,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,0,0,0,0,0.2,9.7,964,51.63,358,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,22,30,0,0,0,0.2,9.4,964,52.68,183,1.4,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,0,0,0,0,-0.1,9.2,964,52.03,7,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,23,30,0,0,0,-0.1,9,964,52.74,9,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,2,0,0,0,0,0,-0.5,8.8,964,52.08,12,1.5,0.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
